Categoria,Esposizione,Nome,Colore,Epoca della fioritura
Biennali – medie (da cm 30 a 60),soleggiata,Campanula medium,"bianco, rosa, azzurro, blu","primavera, estate"
Biennali – medie (da cm 30 a 60),soleggiata,Nontiscordardime o Miosotide,"bianco, rosa, celeste","primavera"
Biennali – medie (da cm 30 a 60),soleggiata,Violaciocca,"tutti i colori, tranne azzurro-blu","primavera, estate"
Biennali – medie (da cm 30 a 60),soleggiata,Violaciocca gialla,"giallo, bruno, marrone","primavera"
Biennali – basse (fino a cm 30),mezz’ombra,Garofano dei poeti \"barbatus\",\"bianco, rosa, rosso, salmone, lilla, viola","estate"
Biennali – basse (fino a cm 30),mezz’ombra,Viola del pensiero \"tricolor\",\"tutti i colori","primavera, estate"
Biennali – medie (da cm 30 a 60),mezz’ombra,Calceolaria,"tutti i colori, tranne azzurro-blu","primavera, estate"
Biennali – medie (da cm 30 a 60),mezz’ombra,Campanula medium,"bianco, rosa, azzurro-blu","primavera, estate"
Biennali – medie (da cm 30 a 60),mezz’ombra,Cineraria,"tutti i colori, tranne giallo-arancio","primavera"
Biennali – medie (da cm 30 a 60),mezz’ombra,Nontiscordardime o Miosotide,"bianco, rosa, celeste","primavera"
Biennali – medie (da cm 30 a 60),mezz’ombra,Primula malacoide,"bianco, rosa, rosso, lilla","primavera"
Biennali – basse (fino a cm 30),ombra,Viola del pensiero \"tricolor\",\"tutti i colori","primavera, estate"
Biennali – medie (da cm 30 a 60),ombra,Calceolaria,"tutti i colori, tranne azzurro-blu","primavera, estate"
Biennali – medie (da cm 30 a 60),ombra,Nontiscordardime o Miosotide,"bianco, rosa, celeste","primavera"
