Categoria,Esposizione,Nome comune,Nome scientifico,Famiglia botanica,Dimensioni (m),Colore dei fiori,Terreno,Fioritura (mesi)
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Abelia,Abelia,caprifoliacea,"altezza 4, diametro 3","bianco, rosa","organico, soffice, non calcareo","V-IX"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Acacia o Mimosa,Acacia,mimosacea non rustica,"altezza 25, diametro 10","giallo","fresco, permeabile, non calcareo","II-IV"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Azalea,Rododendro,–,"—","—","—","—"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Buddleia,Buddleia,loganiacea,"altezza 4, diametro 3","lilla, viola, bianco, giallo, arancio","medio impasto","V-VIII"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Camelia,Camelia,teaceaea,"altezza 15, diametro 5","bianco, rosa, rosso","organico, acido, sabbioso, soffice","I-IV"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Cestro,Cestrum,solanacea semirustico,"altezza 4, diametro 2,5","bianco, rosso","organico, soffice","IX-X"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Corbezzolo,Arbutus,ericacea semirustico,"altezza 6, diametro 3","bianco","sciolto, non calcareo","IX-X"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Escallonia,Escallonia,sassifragacea,"altezza 3, diametro 3","bianco, rosa, rosso","medio impasto","VI-IX"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Eucalipto,Eucalyptus,mirtacea,"altezza 40, diametro 10","bianco, giallo, rosso","permeabile","V-VIII"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Evonimo,Evonimus,celastracea,"altezza 5, diametro 2","—","medio impasto","V-VI"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Ginestrone,Ulex,papilionacea,"altezza 2, diametro 2","giallo","sabbioso, asciutto","V-VII"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Ibisco,Hibiscus,malvacea,"altezza 4, diametro 2,5","lilla, viola, porpora, rosa, bianco, azzurro","organico, soffice","V-X"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Magnolia,Magnolia grandiflora,magnoliacea,"altezza 30, diametro 8","bianco avorio","organico, fresco, acido","V-VIII"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Olea fragrante,Osmanthus,oleacea semirustico,"altezza 4, diametro 4","bianco","sabbioso, acido","IV-V"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Oleandro,Nerium,apocinacea semirustico,"altezza 6, diametro 10","bianco, rosa, rosso, crema","medio impasto","VI-IX"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Pittosporo,Pittosporum,pittosporacea,"altezza 5, diametro 3","porpora, bruno","soffice, permeabile","VII-VIII"
Alberi e arbusti sempreverdi e semirustici – latifoglie,mezz’ombra,Rododendro,Rhododendron,ericacea,"altezza 15, diametro 6","tutti i colori, tranne azzurro, blu","organico, soffice, acido","I-VI"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Senecio,Senecio,composita semirustico,"altezza 3, diametro 2","giallo","organico, sabbioso","VI-IX"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Tamerice,Tamarix,tamaricacea non rustica,"altezza 4, diametro 3","rosa vivo","sciolto, fresco","IV-V"
Alberi e arbusti sempreverdi e semirustici – latifoglie,soleggiata,Viburno,Viburnum,caprifoliacea,"altezza 3, diametro 2","rosa, bianco","sciolto, fresco","IX-V"
