Categoria,Esposizione,Nome,Colore,Epoca della fioritura
Annuali – generali,mezz’ombra,Tagete,"giallo, arancio, bruno","primavera, estate, autunno"
Annuali – generali,mezz’ombra,Verbena,"rosso, porpora, rosa, lilla, viola, bianco","estate, autunno"
Annuali – generali,mezz’ombra,Zinnia,"tutti i colori, tranne blu-azzurro","estate, autunno"
Annuali – alte (oltre 60 cm),soleggiata,Amaranto,"rosso, verde","estate, autunno"
Annuali – alte (oltre 60 cm),soleggiata,Cosmea,"bianco, rosa, rosso, lilla, viola","estate, autunno"
Annuali – alte (oltre 60 cm),soleggiata,Salvia splendida,"rosso","estate, autunno"
Annuali – alte (oltre 60 cm),soleggiata,Tagete,"giallo, arancio, bruno","primavera, estate, autunno"
Annuali – alte (oltre 60 cm),soleggiata,Zinnia,"tutti i colori, tranne blu-azzurro","estate, autunno"
Annuali – basse (fino a cm 30),ombra,Agerato,"lilla, blu, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),ombra,Begonietta,"rosa, rosso, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),ombra,Lobelia,"blu, azzurro, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Nasturzio,"giallo, arancio, bruno","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Agerato,"lilla, blu, bianco","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Nasturzio,"giallo, arancio, bruno","primavera, estate, autunno"
Biennali – basse (fino a cm 30),soleggiata,Garofano dei poeti \"barbatus\",\"bianco, rosa, rosso, salmone, lilla, viola","estate"
Biennali – basse (fino a cm 30),soleggiata,Viola del pensiero \"tricolor\",\"tutti i colori","primavera, estate"
