Categoria,Esposizione,Nome,Colore,Epoca della fioritura
Annuali – medie (da cm 30 a 60),soleggiata,Agerato,"lilla, blu, bianco","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Arctotide,"tutti i colori","estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Astro regina Margherita,"tutti i colori","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Balasamina o Begliuomini,"rosa, rosso, bianco, lilla, viola","estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Bella di giorno o Convolvolo tricolore,"blu, viola, cremisi, bianco","estate"
Annuali – medie (da cm 30 a 60),soleggiata,Celosia,"giallo, rosso, amaranto","estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Clarchia,"rosa, porpora","estate"
Annuali – medie (da cm 30 a 60),soleggiata,Dimorfoteca,"giallo, arancio, bianco, porpora","estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Escolzia,"giallo, arancio, rosso","estate"
Annuali – medie (da cm 30 a 60),soleggiata,Godezia,"tutti i colori tranne blu-azzurro","estate"
Annuali – medie (da cm 30 a 60),soleggiata,Gonfrena,"giallo, porpora, bianco","estate"
Annuali – medie (da cm 30 a 60),soleggiata,Nasturzio,"giallo, arancio, bruno (ricadente)","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Petunia,"tutti i colori (ricadente)","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Salvia sclarea,"rosso, blu","estate"
Annuali – medie (da cm 30 a 60),soleggiata,Salvia splendida,"bianco, rosa, rosso","primavera, estate"
Annuali – medie (da cm 30 a 60),soleggiata,Scabiosa,"bianco, rosa, rosso, azzurro, lilla","estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Statice,"tutti i colori, tranne blu-azzurro","estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Tagete,"arancio, giallo, bruno","primavera, estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Verbena,"rosso, porpora, rosa, lilla, viola, bianco","estate, autunno"
Annuali – medie (da cm 30 a 60),soleggiata,Zinnia,"tutti i colori, tranne blu-azzurro","estate, autunno"
Annuali – alte (oltre 60 cm),soleggiata,Amaranto,"rosso, verde","estate, autunno"
Annuali – alte (oltre 60 cm),soleggiata,Bella di notte,"bianco, giallo, rosa, rosso","estate, autunno"
