Categoria,Esposizione,Nome,Colore,Epoca della fioritura
Annuali – basse (fino a cm 30),soleggiata,Adonide,"giallo, rosso","primavera"
Annuali – basse (fino a cm 30),soleggiata,Agerato,"lilla, blu, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Calendula,"arancio, giallo","primavera, estate"
Annuali – basse (fino a cm 30),soleggiata,Garofano di Cina o Fiorrancio,"bianco, rosa, rosso, lilla, viola, porpora","estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Lobelia,"blu, azzurro, bianco","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Nasturzio,"giallo, arancio, bruno","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Nemesia,"tutti i colori","primavera"
Annuali – basse (fino a cm 30),soleggiata,Petunia,"tutti i colori","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Portulaca,"tutti i colori, tranne blu, azzurro e viola-lilla","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Salvia splendida nana,"bianco, rosa, rosso","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Tagete,"arancio, giallo, bruno","primavera, estate, autunno"
Annuali – basse (fino a cm 30),soleggiata,Zinnia,"tutti i colori, tranne blu-azzurro","estate, autunno"
